MX_IS_TOT            | 4 | 0 | Numeric | BCR_ENTY.REP         | BCR_ENTY             | User | MRA
DATE                 | 8 | 0 | Date | BCR_ENTY.REP         | BCR_ENTY             | User | MRA
MX_TOT_KEY           | 12 | 0 | Char | BCR_ENTY.REP         | BCR_ENTY             | User | MRA
MX_TOT_REF           | 12 | 0 | Numeric | BCR_ENTY.REP         | BCR_ENTY             | User | MRA
BRANCH_SU            | 255 | 0 | Char | BCR_ENTY.REP         | BCR_ENTY             | User | MRA
BUSINESS_            | 255 | 0 | Char | BCR_ENTY.REP         | BCR_ENTY             | User | MRA
GLOBAL_PR            | 255 | 0 | Char | BCR_ENTY.REP         | BCR_ENTY             | User | MRA
RISK_BANK            | 255 | 0 | Char | BCR_ENTY.REP         | BCR_ENTY             | User | MRA
ATL95_4              | 19 | 6 | American | BCR_ENTY.REP         | BCR_ENTY             | User | MRA
QTL99_4              | 19 | 6 | American | BCR_ENTY.REP         | BCR_ENTY             | User | MRA
ATL97_6              | 19 | 6 | Numeric | BCR_ENTY.REP         | BCR_ENTY             | User | MRA
QTL97_5              | 19 | 6 | Numeric | BCR_ENTY.REP         | BCR_ENTY             | User | MRA
MX_IS_TOT            | 4 | 0 | Numeric | BEQ_ENTY.REP         | BEQ_ENTY             | User | MRA
DATE                 | 8 | 0 | Date | BEQ_ENTY.REP         | BEQ_ENTY             | User | MRA
MX_TOT_KEY           | 12 | 0 | Char | BEQ_ENTY.REP         | BEQ_ENTY             | User | MRA
MX_TOT_REF           | 12 | 0 | Numeric | BEQ_ENTY.REP         | BEQ_ENTY             | User | MRA
BRANCH_SU            | 255 | 0 | Char | BEQ_ENTY.REP         | BEQ_ENTY             | User | MRA
BUSINESS_            | 255 | 0 | Char | BEQ_ENTY.REP         | BEQ_ENTY             | User | MRA
GLOBAL_PR            | 255 | 0 | Char | BEQ_ENTY.REP         | BEQ_ENTY             | User | MRA
RISK_BANK            | 255 | 0 | Char | BEQ_ENTY.REP         | BEQ_ENTY             | User | MRA
ATL95_4              | 19 | 6 | American | BEQ_ENTY.REP         | BEQ_ENTY             | User | MRA
QTL99_4              | 19 | 6 | American | BEQ_ENTY.REP         | BEQ_ENTY             | User | MRA
ATL97_6              | 19 | 6 | Numeric | BEQ_ENTY.REP         | BEQ_ENTY             | User | MRA
QTL97_5              | 19 | 6 | Numeric | BEQ_ENTY.REP         | BEQ_ENTY             | User | MRA
MX_IS_TOT            | 4 | 0 | Numeric | BFX_ENTY.REP         | BFX_ENTY             | User | MRA
DATE                 | 8 | 0 | Date | BFX_ENTY.REP         | BFX_ENTY             | User | MRA
MX_TOT_KEY           | 12 | 0 | Char | BFX_ENTY.REP         | BFX_ENTY             | User | MRA
MX_TOT_REF           | 12 | 0 | Numeric | BFX_ENTY.REP         | BFX_ENTY             | User | MRA
BRANCH_SU            | 255 | 0 | Char | BFX_ENTY.REP         | BFX_ENTY             | User | MRA
BUSINESS_            | 255 | 0 | Char | BFX_ENTY.REP         | BFX_ENTY             | User | MRA
GLOBAL_PR            | 255 | 0 | Char | BFX_ENTY.REP         | BFX_ENTY             | User | MRA
RISK_BANK            | 255 | 0 | Char | BFX_ENTY.REP         | BFX_ENTY             | User | MRA
ATL95_4              | 19 | 6 | American | BFX_ENTY.REP         | BFX_ENTY             | User | MRA
QTL99_4              | 19 | 6 | American | BFX_ENTY.REP         | BFX_ENTY             | User | MRA
ATL97_6              | 19 | 6 | Numeric | BFX_ENTY.REP         | BFX_ENTY             | User | MRA
QTL97_5              | 19 | 6 | Numeric | BFX_ENTY.REP         | BFX_ENTY             | User | MRA
MX_IS_TOT            | 4 | 0 | Numeric | BIR_ENTY.REP         | BIR_ENTY             | User | MRA
DATE                 | 8 | 0 | Date | BIR_ENTY.REP         | BIR_ENTY             | User | MRA
MX_TOT_KEY           | 12 | 0 | Char | BIR_ENTY.REP         | BIR_ENTY             | User | MRA
MX_TOT_REF           | 12 | 0 | Numeric | BIR_ENTY.REP         | BIR_ENTY             | User | MRA
BRANCH_SU            | 255 | 0 | Char | BIR_ENTY.REP         | BIR_ENTY             | User | MRA
BUSINESS_            | 255 | 0 | Char | BIR_ENTY.REP         | BIR_ENTY             | User | MRA
GLOBAL_PR            | 255 | 0 | Char | BIR_ENTY.REP         | BIR_ENTY             | User | MRA
RISK_BANK            | 255 | 0 | Char | BIR_ENTY.REP         | BIR_ENTY             | User | MRA
ATL95_4              | 19 | 6 | American | BIR_ENTY.REP         | BIR_ENTY             | User | MRA
QTL99_4              | 19 | 6 | American | BIR_ENTY.REP         | BIR_ENTY             | User | MRA
ATL97_6              | 19 | 6 | Numeric | BIR_ENTY.REP         | BIR_ENTY             | User | MRA
QTL97_5              | 19 | 6 | Numeric | BIR_ENTY.REP         | BIR_ENTY             | User | MRA
C_CUR_PL             | 3 | 0 | Char | CLEAN_MV_SIM1.DBF    | ACC_FXSWAP_MV        | User | DYN_TRNRP_PL
TRN_FMLY             | 5 | 0 | Char | CLEAN_MV_SIM1.DBF    | ACC_FXSWAP_MV        | User | DYN_TRNRP_PL
TRN_GRP              | 5 | 0 | Char | CLEAN_MV_SIM1.DBF    | ACC_FXSWAP_MV        | User | DYN_TRNRP_PL
TRN_TYPE             | 5 | 0 | Char | CLEAN_MV_SIM1.DBF    | ACC_FXSWAP_MV        | User | DYN_TRNRP_PL
REP_DATE             | 8 | 0 | Date | CLEAN_MV_SIM1.DBF    | ACC_FXSWAP_MV        | User | DYN_TRNRP_PL
TP_DTESYS            | 8 | 0 | Date | CLEAN_MV_SIM1.DBF    | ACC_FXSWAP_MV        | User | DYN_TRNRP_PL
CONTRACT             | 10 | 0 | Numeric | CLEAN_MV_SIM1.DBF    | ACC_FXSWAP_MV        | User | DYN_TRNRP_PL
NB                   | 10 | 0 | Numeric | CLEAN_MV_SIM1.DBF    | ACC_FXSWAP_MV        | User | DYN_TRNRP_PL
PACKAGE              | 10 | 0 | Numeric | CLEAN_MV_SIM1.DBF    | ACC_FXSWAP_MV        | User | DYN_TRNRP_PL
TP_PFOLIO            | 15 | 0 | Char | CLEAN_MV_SIM1.DBF    | ACC_FXSWAP_MV        | User | DYN_TRNRP_PL
TP_ENACUR            | 20 | 0 | Char | CLEAN_MV_SIM1.DBF    | ACC_FXSWAP_MV        | User | DYN_TRNRP_PL
CNT_TYPO             | 21 | 0 | Char | CLEAN_MV_SIM1.DBF    | ACC_FXSWAP_MV        | User | DYN_TRNRP_PL
PL_FMV0              | 23 | 6 | American | CLEAN_MV_SIM1.DBF    | ACC_FXSWAP_MV        | User | DYN_TRNRP_PL
PL_FMV1              | 23 | 6 | American | CLEAN_MV_SIM1.DBF    | ACC_FXSWAP_MV        | User | DYN_TRNRP_PL
PL_FMV2              | 23 | 6 | American | CLEAN_MV_SIM1.DBF    | ACC_FXSWAP_MV        | User | DYN_TRNRP_PL
ASSET_TYPE           | 10 | 0 | Char | COL_EXCH.REP         | COL_EXCH             | User | 51
BASE_ID              | 10 | 0 | Numeric | COL_EXCH.REP         | COL_EXCH             | User | 51
COL_BOOK             | 36 | 0 | Char | COL_EXCH.REP         | COL_EXCH             | User | 51
CTP                  | 36 | 0 | Char | COL_EXCH.REP         | COL_EXCH             | User | 51
LEGL_AGRMT           | 36 | 0 | Char | COL_EXCH.REP         | COL_EXCH             | User | 51
OUR_MTM              | 24 | 6 | American | COL_EXCH.REP         | COL_EXCH             | User | 51
_DT_DIS_FI           | 0 | 0 |  | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
_DT_DIS_IN           | 0 | 0 |  | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
_DT_IN_TS            | 0 | 0 |  | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
FX_CUST              | 1 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
OUR_ITINC            | 1 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
PRICE_CUST           | 1 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
REQ_DSPTED           | 1 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
XSUM_DET             | 1 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
XDUP_FLAG            | 1 | 0 | Numeric | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
CCY                  | 4 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
REQ_CCY              | 4 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
REQ_TYPE             | 4 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
MCDSP_STAT           | 6 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
DSPT_FINDT           | 8 | 0 | Date | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
DSPT_INSDT           | 8 | 0 | Date | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
INS_DATE             | 8 | 0 | Date | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
SETTLEDATE           | 8 | 0 | Date | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
VAL_DATE             | 8 | 0 | Date | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
ASSET_TYPE           | 10 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
COL_DIR              | 10 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
MOV_DIR              | 10 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
MS_REAS_C            | 10 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RQDET_MTHD           | 10 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
MS_VERS              | 10 | 0 | Numeric | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
BASE_ID              | 10 | 0 | Numeric | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
DSPT_EVID            | 10 | 0 | Numeric | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RUN_ID               | 10 | 0 | Numeric | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
DSPT_STAT            | 11 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
XSUM_COUNT           | 12 | 0 | American | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
REQ_STAT             | 15 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
CONTEXT              | 16 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
SOURCE               | 16 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
GLB_STAT             | 20 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RECM_CTPIA           | 20 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RECM_IT              | 20 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RECM_MTM             | 20 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RECM_OURIA           | 20 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RECM_SETL            | 20 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
RES_METHOD           | 20 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
DSPT_VLD             | 21 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
INSTRUMENT           | 21 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
PLC_SETLMT           | 21 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
VLDN_STATS           | 21 | 0 | Char | COL_EXEC_ALC.REP     | DYN_COLL_EXCHNG_ALC  | User | 51
