TRN_CLASS            | 1 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
ACC_TYPE             | 2 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
CHK_MAN              | 2 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
TYPE                 | 2 | 0 | Char | ACA1.REP             | DYN_ACA1             | User | 
AREA10               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA11               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA110              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA111              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA112              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA113              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA114              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA115              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA116              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA117              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA118              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA119              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA12               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA13               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA14               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA15               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA16               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA17               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA18               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA19               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA20               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA21               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA210              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA211              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA212              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA213              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA214              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA215              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA216              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA217              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA218              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA219              | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA22               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA23               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA24               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA25               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA26               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
AREA27               | 2 | 0 | Numeric | ACA1.REP             | DYN_ACA1             | User | 
