2015-09-03 00:00:00 | 2016-02-01 00:00:00 | FO_35a_PL_FEED_MY_B  | REF_PL_BF            | 1 | MUREXFO    | FO_EOD     | FOD        | 0:00:02 | 0:00:02 | 0:00:05 | REP_BATCHES_FEED    
2015-09-03 00:00:00 | 2016-02-01 00:00:00 | FO_34a_DET_FEED_MY_B | REF_DETPL_BF         | 1 | MUREXFO    | FO_EOD     | FOD        | 0:00:03 | 0:00:03 | 0:00:06 | REP_BATCHES_FEED    
2015-09-03 00:00:00 | 2016-02-01 00:00:00 | FO_33a_FXCASHPL_MY_B | MX_FXC_PL_BF         | 1 | MUREXFO    | FO_EOD     | FOD        | 0:00:01 | 0:00:01 | 0:00:02 | REP_BATCHES_FEED    
2015-09-03 00:00:00 | 2016-02-01 00:00:00 | FO_32a_FXCASHPL_MY_B | MX_FXC_DETPL_BF      | 1 | MUREXFO    | FO_EOD     | FOD        | 0:00:01 | 0:00:02 | 0:00:03 | REP_BATCHES_FEED    
2015-09-03 00:00:00 | 2016-02-01 00:00:00 | FO_33b_FXCASHPL_MY_I | MX_FXC_PL_BF         | 1 | MUREXFO    | FO_EOD     | FOD        | 0:00:01 | 0:00:00 | 0:00:02 | REP_BATCHES_FEED    
2015-09-03 00:00:00 | 2016-02-01 00:00:00 | FO_33c_FXCASHPL_MY_V | MX_FXC_PL_BF         | 1 | MUREXFO    | FO_EOD     | FOD        | 0:00:01 | 0:00:00 | 0:00:01 | REP_BATCHES_FEED    
2015-09-03 00:00:00 | 2016-02-01 00:00:00 | FO_33d_FXCASH_PL_SG  | MX_FXC_PL_BF         | 1 | MUREXFO    | FO_EOD     | FOD        | 0:00:00 | 0:00:00 | 0:00:01 | REP_BATCHES_FEED    
2015-09-03 00:00:00 | 2016-02-01 00:00:00 | FO_34b_DET_FEED_MY_I | REF_DETPL_BF         | 1 | MUREXFO    | FO_EOD     | FOD        | 0:00:03 | 0:00:03 | 0:00:06 | REP_BATCHES_FEED    
2015-09-03 00:00:00 | 2016-02-01 00:00:00 | FO_35b_PL_FEED_MY_I  | REF_PL_BF            | 1 | MUREXFO    | FO_EOD     | FOD        | 0:00:02 | 0:00:02 | 0:00:05 | REP_BATCHES_FEED    
2015-09-03 00:00:00 | 2016-02-01 00:00:00 | FO_35c_PL_FEED_MY_V  | REF_PL_BF            | 1 | MUREXFO    | FO_EOD     | FOD        | 0:00:02 | 0:00:02 | 0:00:05 | REP_BATCHES_FEED    
2015-09-03 00:00:00 | 2016-02-01 00:00:00 | FO_32b_FXCASHPL_MY_I | MX_FXC_DETPL_BF      | 1 | MUREXFO    | FO_EOD     | FOD        | 0:00:01 | 0:00:01 | 0:00:02 | REP_BATCHES_FEED    
2015-09-03 00:00:00 | 2016-02-01 00:00:00 | FO_32c_FXCASHPL_MY_V | MX_FXC_DETPL_BF      | 1 | MUREXFO    | FO_EOD     | FOD        | 0:00:01 | 0:00:01 | 0:00:02 | REP_BATCHES_FEED    
