Detailed simulation                                            	 | 	Cashflows (Total disc at Ref)                                  
MarketDataViewer                                               	 | 	Cashflows (Total disc at Sys)                                  
VolatilitiesCalibration                                        	 | 	Cashflows (Total disc at Sys)                                  
Consolidated simulation                                        	 | 	Cashflows (Total discounted)                                   
VolatilitiesCalibration                                        	 | 	Converted (Total disc at Ref)                                  
Detailed simulation                                            	 | 	Curr1 Amount                                                   
VolatilitiesCalibration                                        	 | 	Financing                                                      
VolatilitiesCalibration                                        	 | 	MTM PL (since inception)                                       
MarketDataViewer                                               	 | 	NDF Cashflow                                                   
MarketData                                                     	 | 	Net Daily Mvt O                                                
Detailed simulation                                            	 | 	PL (global ccy)                                                
MarketDataViewer                                               	 | 	DM_STOREDPL                                                    
MarketData                                                     	 | 	rep_ACG_DETPL                                                  
VolatilitiesCalibration                                        	 | 	DMS_MX_ALL_ACG_DETPL                                           
Consolidated simulation                                        	 | 	DMS_MX_FXC_PL                                                  
VolatilitiesCalibration                                        	 | 	PL Local Today                                                 
Detailed simulation                                            	 | 	RefPL (global ccy)                                             
MarketDataViewer                                               	 | 	RefPL Today (local ccy)                                        
VolatilitiesCalibration                                        	 | 	RefPL Today (local ccy)                                        
Detailed simulation                                            	 | 	RefSwap                                                        
Consolidated simulation                                        	 | 	Non Disc Daily PL                                              
VolatilitiesCalibration                                        	 | 	Non Disc Daily PL                                              
Consolidated simulation                                        	 | 	Daily PL NP                                                    
MarketData                                                     	 | 	Disc daily PL                                                  
VolatilitiesCalibration                                        	 | 	Disc daily PL                                                  
MarketDataViewer                                               	 | 	DMS_MX_ALL_ACG_PL                                              
MarketData                                                     	 | 	MX_IRD_Market quotes                                           
Consolidated simulation                                        	 | 	MX_MD_Interest rate curves                                     
ERM_MKT                                                        	 | 	OP09-ERMReset-Mkt                                              
SelectNettedDetail_Sec_DVP_CTP_CUR_VALU                        	 | 	Sec_FOP_Netting_Contributors                                   
SelectNettedDetail_Sec_FOP_CTP_CUR_VALU                        	 | 	Sec_FOP_Netting_Contributors                                   
Consolidated simulation                                        	 | 	DMS_MX_ALL_PL_BKD_CNV_C                                        
TradeContribution                                              	 | 	User Defined View                                              
VolatilitiesCalibration                                        	 | 	User Defined View                                              
Consolidated simulation                                        	 | 	MX_SF_ConservativeInventory                                    
