  |   | FD_ACAC |   |   |   |   |   |   |   | ONE DATA SET | Y | 0 | PRIVATE | DF_LOD               | FD_ACAC |   |   |   | ACAC_REF_DATA(REF_DATA) |   |   |   | FEEDERS | ACAC.REP | 11 | DYN_ACAC             | Murex | Copy Creation | 94 |   |   | N | Detailed DBF | NS | NS | Contextual Today -20 OD (COMMON) |   |   |   |   |   |                                                                  | Murex Standard Report | Prcocessing Center details for PLBS Reports |  |  | 0 |  |  | 0 | 0
  |   | REC_BDF_MX_ACA |   |   |   |   |   |   |   | ONE DATA SET | Y | 0 | PRIVATE | LOD_MX_30            | FD_ACAC |   |   |   | ACAC_REF_DATA(REF_DATA) |   |   |   | FEEDERS | ACAC.REP | 11 | DYN_ACAC             | Murex | Copy Creation | 94 |   |   | N | Detailed DBF | NS | NS | Contextual Today -20 OD (COMMON) |   |   |   |   |   |                                                                  | Murex Standard Report | Batch Data Feeder for ACAR.REP,ACAC.REP |  |  | 0 |  |  | 0 | 0
  |   | WL_FD_ACAC |   |   |   | NS ,NS , User Defined Date  |   |   |   | ONE DATA SET | Y | 0 | PRIVATE | 260209               | FD_ACAC |   |   |   | ACAC_REF_DATA(REF_DATA) |   |   |   | FEEDERS | ACAC.REP | 11 | DYN_ACAC             | Murex | Copy Creation | 94 |   |   | N | Detailed DBF | NS | NS | Contextual Today -20 OD (COMMON) |   |   |   |   |   |                                                                  | Murex Standard Report |  | 270209               |  | 0 |  |  | 0 | 0
MXG_EOD_INTERFACE    | 0 | BDF_HLMY_TRNPC | 0 HRS:2 MINS :19.8 SECS | 20140315 | 4ISDOPS              |   |   |   |   | ONE DATA SET | Y | 0 | PRIVATE | BSPL                 | FD_ACAC |   |   |   | ACAC_REF_DATA(REF_DATA) |   |   |   | FEEDERS | ACAC.REP | 11 | DYN_ACAC             | Murex | Copy Creation | 94 |   |   | N | Detailed DBF | NS | NS | Contextual Today -20 OD (COMMON) |   |   |   |   |   |                                                                  | Murex Standard Report | Processing Center details for PLBS Reports |  |                      | 0 |  |  | 0 | 0
  |   | BDF_MX_11a |   |   |   | NS ,NS ,NS  |   |   |   | ONE DATA SET | Y | 0 | PRIVATE | LOD_MX_7             | FD_ACAC |   |   |   | ACAC_REF_DATA(REF_DATA) |   |   |   | FEEDERS | ACAC.REP | 11 | DYN_ACAC             | Murex | Copy Creation | 94 |   |   | N | Detailed DBF | NS | NS | Contextual Today -20 OD (COMMON) |   |   |   |   |   |                                                                  | Murex Standard Report | Batch Data Feeder for HL_ACJS.REP | NONE                 |  | 0 |  |  | 0 | 0
  |   |   |   |   |   |   |   |   |   |   |   | 0 |   |   | FD_ACAC |   |   |   | ACAC_REF_DATA(REF_DATA) |   |   |   | FEEDERS | ACAC.REP | 11 | DYN_ACAC             | Murex | Copy Creation | 94 |   |   | N | Detailed DBF | NS | NS | Contextual Today -20 OD (COMMON) |   |   |   |   |   |                                                                  | Murex Standard Report |  |  |  | 0 |  |  | 0 | 0
  |   | REC_BDF_MX_ACA |   |   |   |   |   |   |   | ONE DATA SET | Y | 0 | PRIVATE | LOD_MX_30            | FD_ACAR |   |   |   | ACAR_REF_DATA(REF_DATA) |   |   |   | FEEDERS | ACAR.REP | 6 | DYN_ACAR             | Murex | Copy Creation | 100 |   |   | N | Detailed DBF | NS | NS | Contextual Today |   |   |   |   |   |                                                                  | Murex Standard Report | Batch Data Feeder for ACAR.REP,ACAC.REP |  |  | 0 |  |  | 0 | 0
  |   | MX_ACCPL_BF |   |   |   | NS ,NS ,Contextual Today  |   |   |   | ONE DATA SET PER DAY | Y | 0 | DATA PUBLISHED | MXSTD                | MX_ACCRUAL_PL_CONS_FEED |   |   |   |   |   |   |   | FEEDERS | ACCRUAL_PL.REP | 17 | DYN_ACCRUAL_PL       | Murex | Simulation | 13 |   |   | N | Consolidated DBF | NS | NS | Contextual Today |   |   |   |   |   | DMR_MX_IRD_Accrual_PL (c)                                        | Feeder to feed table ACCRUAL_PL_REP | Batch of feeders to populate table ACCRUAL_PL_REP | MX_TODAY_MXPRESS_C   |  | 0 |  |  | 0 | 0
  |   |   |   |   |   |   |   |   |   |   |   | 0 |   |   | PL07-ConsolidatedAccrualP&L |   |   |   |   |   |   |   | EXTRACTIONS | ACCRUAL_PL.REP | 17 | DYN_ACCRUAL_PL       | Murex | Simulation | 13 |   |   | N | Consolidated DBF | NS | NS | Contextual Today |   |   |   |   |   | DMR_MX_IRD_Accrual_PL (c)                                        | This report shows the accrual P&L variation at 3 dates |  |  |  | 0 |  |  | 0 | 0
  |   |   |   |   |   |   |   |   |   |   |   | 0 |   |   | PL06-DetailedAccrualP&L |   |   |   |   |   |   |   | EXTRACTIONS | ACCRUAL_PL_DET.REP | 18 | DYN_DET_ACCRUAL_PL   | Murex | Simulation | 14 |   |   | N | Detailed DBF | NS | NS | Contextual Today |   |   |   |   |   | DMR_MX_IRD_Accrual_PL (d)                                        | This report shows the accrual P & L in detailed mode |  |  |  | 0 |  |  | 0 | 0
  |   | MX_ACCPL_DET_BF |   |   |   | NS ,NS ,Contextual Today  |   |   |   | ONE DATA SET PER DAY | Y | 0 | DATA PUBLISHED | MXSTD                | MX_ACCRUAL_PL_DET_FEED |   |   |   |   |   |   |   | FEEDERS | ACCRUAL_PL_DET.REP | 18 | DYN_DET_ACCRUAL_PL   | Murex | Simulation | 14 |   |   | N | Detailed DBF | NS | NS | Contextual Today |   |   |   |   |   | DMR_MX_IRD_Accrual_PL (d)                                        | Feeder to feed table ACCRUAL_PL_DET_REP | Batch of feeders to populate table ACCRUAL_PL_DET_REP | MX_TODAY_D           |  | 0 |  |  | 0 | 0
