TP_NOMINAL           | 19 | 2 | American | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_PFOLIO            | 15 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_PRCDDEN           | 10 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_PRICE             | 25 | 8 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_PRICED            | 25 | 8 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_PRICED2           | 25 | 8 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RPO_AMT           | 16 | 2 | American | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RPRATE            | 9 | 4 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RPUNCPC           | 3 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTAMO             | 20 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTCAP1            | 19 | 2 | American | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTCCP00           | 25 | 8 | American | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTCCP01           | 25 | 8 | American | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTCCP02           | 25 | 8 | American | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTCCP10           | 25 | 8 | American | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTCCP11           | 25 | 8 | American | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTCCP12           | 25 | 8 | American | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTCUR0            | 3 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTCUR1            | 3 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTFV0             | 1 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTFV1             | 1 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTMCNV0           | 15 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTVLC00           | 19 | 6 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTVLC01           | 19 | 6 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTVLC02           | 19 | 6 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTVLC10           | 19 | 6 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_RTVLC11           | 19 | 6 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
CNT_DSC              | 50 | 0 | Char | REF_DETPL_ND.REP     | DYN_REF_DETPL        | Murex | Simulation
CNT_TYPO             | 20 | 0 | Char | REF_DETPL_ND.REP     | DYN_REF_DETPL        | Murex | Simulation
CSFR_ALL             | 23 | 6 | American | REF_DETPL_ND.REP     | DYN_REF_DETPL        | Murex | Simulation
CSFR_ASS             | 23 | 6 | American | REF_DETPL_ND.REP     | DYN_REF_DETPL        | Murex | Simulation
PL                   | 18 | 6 | American | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
PORTFOLIO            | 16 | 0 | Char | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
TYPE                 | 16 | 0 | Char | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
TP_RTVLC12           | 19 | 6 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_SECISS            | 40 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_SECLBL            | 15 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_SECLOT            | 17 | 6 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_SECMKT            | 15 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_SMDEN             | 3 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_SMRTE             | 24 | 11 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_SPTFWD            | 1 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_STRIKE            | 18 | 8 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_TRADER            | 10 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_UQTY              | 10 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TRN_FMLY             | 5 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TRN_GRP              | 5 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TRN_TYPE             | 5 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
UDF_REF0             | 10 | 0 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
UDF_REF1             | 10 | 0 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
UDF_REF2             | 10 | 0 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_CP                | 1 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_LENTDSP           | 35 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
MRG_VAL              | 16 | 6 | Numeric | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
MRG_MET              | 9 | 0 | Char | ERM_MV.REP           | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
REFERENCE            | 10 | 2 | Numeric | HEDGE_MSRMNT.REP     | DYN_HEDGE_MSRMNT     | Murex | Hedge
SHIFTER              | 10 | 0 | Char | HEDGE_MSRMNT.REP     | DYN_HEDGE_MSRMNT     | Murex | Hedge
STARTPERI            | 8 | 0 | Date | HEDGE_MSRMNT.REP     | DYN_HEDGE_MSRMNT     | Murex | Hedge
TRN_TYPE             | 16 | 0 | Char | IRD_BASIS_RISK.REP   | DYN_IRD_BASIS_RISK   | Murex | Simulation
INDEX_LBL            | 36 | 0 | Char | IRD_FIXING_RISK.REP  | DYN_IRD_FIXING_RISK  | Murex | Simulation
NB                   | 10 | 0 | Numeric | IRD_FIXING_RISK.REP  | DYN_IRD_FIXING_RISK  | Murex | Simulation
PORTFOLIO            | 16 | 0 | Char | IRD_FIXING_RISK.REP  | DYN_IRD_FIXING_RISK  | Murex | Simulation
TRN_FMLY             | 16 | 0 | Char | IRD_FIXING_RISK.REP  | DYN_IRD_FIXING_RISK  | Murex | Simulation
TRN_GRP              | 5 | 0 | Char | IRD_FIXING_RISK.REP  | DYN_IRD_FIXING_RISK  | Murex | Simulation
TRN_TYPE             | 16 | 0 | Char | IRD_FIXING_RISK.REP  | DYN_IRD_FIXING_RISK  | Murex | Simulation
TRN_TYPE             | 5 | 0 | Char | IRD_PV01_ZERO.REP    | DYN_IRD_PV01_ZERO    | Murex | Simulation
TYPOLOGY             | 21 | 0 | Char | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
VEGA_YIEL            | 12 | 0 | American | IRD_VEGA_TOP.REP     | DYN_IRD_VEGA         | Murex | Simulation
VOL__TYPE            | 11 | 0 | Char | IRD_VEGA_TOP.REP     | DYN_IRD_VEGA         | Murex | Simulation
PILLAR_D             | 8 | 0 | Date | MD_CRDSPRD.REP       | DYN_MD_CRDSPRD       | Murex | Data Dictionary (Market Data Loader)
RR                   | 6 | 2 | Numeric | MD_CRDSPRD.REP       | DYN_MD_CRDSPRD       | Murex | Data Dictionary (Market Data Loader)
CCY_PAIR             | 15 | 0 | Char | MD_FXRATE.REP        | DYN_MD_FXRATE        | Murex | Data Dictionary (Market Data Loader)
DATE                 | 8 | 0 | Date | MD_FXRATE.REP        | DYN_MD_FXRATE        | Murex | Data Dictionary (Market Data Loader)
SEC_LBL              | 15 | 0 | Char | MD_YIELDCURVE.REP    | DYN_MD_YIELDCURVE    | Murex | Data Dictionary (Market Data Loader)
