CURRENCY             | 4 | 0 | Char | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
DCURRENCY            | 4 | 0 | Char | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
FAMILY               | 16 | 0 | Char | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
FX_DELTA             | 18 | 6 | American | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
GROUP                | 5 | 0 | Char | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
INSTRUMEN            | 15 | 0 | Char | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
PORTFOLIO            | 16 | 0 | Char | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
TYPE                 | 16 | 0 | Char | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
TYPOLOGY             | 21 | 0 | Char | ERM_OP.REP           | MLC_MKT_OP           | User Additional | Simulation
FAMILY               | 16 | 0 | Char | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
FUTURE               | 18 | 6 | American | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
GROUP                | 5 | 0 | Char | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
INSTRUMEN            | 15 | 0 | Char | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
MV                   | 18 | 6 | American | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
PAST                 | 18 | 6 | American | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
PL                   | 18 | 6 | American | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
PORTFOLIO            | 16 | 0 | Char | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
TYPE                 | 16 | 0 | Char | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
TYPOLOGY             | 21 | 0 | Char | ERM_SL.REP           | MLC_MKT_SL           | User Additional | Simulation
POS_ID               | 10 | 0 | Numeric | PL_BKD_CNV_C.REP     | DYN_PL_BKD_CNV_C     | Murex | Simulation
ORIG_NB              | 10 | 0 | Numeric | PL_BKD_CNV_C.REP     | DYN_PL_BKD_CNV_C     | Murex | Simulation
REVEN_CNV            | 16 | 4 | American | PL_BKD_CNV_C.REP     | DYN_PL_BKD_CNV_C     | Murex | Simulation
FEES_CNV             | 16 | 4 | American | PL_BKD_CNV_C.REP     | DYN_PL_BKD_CNV_C     | Murex | Simulation
PL_KEY1              | 21 | 0 | Char | PL_BKD_CNV_C.REP     | DYN_PL_BKD_CNV_C     | Murex | Simulation
