BD_CAP_FA            | 23 | 6 | Numeric | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | 
ACC_SEC              | 10 | 0 | Char | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
ENTITY               | 10 | 0 | Char | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
EN_AMT               | 19 | 2 | Numeric | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
EN_COMMENT           | 50 | 0 | Char | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
EN_CREDIT            | 20 | 0 | Char | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
EN_CUR               | 3 | 0 | Char | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
EN_DATE              | 8 | 0 | Date | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
EN_DEBIT             | 20 | 0 | Char | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
NB                   | 10 | 0 | Numeric | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
NB_BS                | 1 | 0 | Char | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
NB_MOP               | 10 | 0 | Numeric | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
NB_RULE              | 6 | 0 | Numeric | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
NB_TRN               | 10 | 0 | Numeric | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
PAY_DAT              | 8 | 0 | Date | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
TRN_FMLY             | 5 | 0 | Char | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
TRN_GRP              | 5 | 0 | Char | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
TRN_TYPE             | 5 | 0 | Char | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
VAL_DATE             | 8 | 0 | Date | ACC_JOURNAL.REP      | DYN_ACC_JOURNAL      | Murex | Accounting (Reporting)
USER_CUR             | 3 | 0 | Char | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | 
TRN_FMLY             | 10 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
TRN_GRP              | 10 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
TRN_TYPE             | 10 | 0 | Char | ACG_PL.REP           | DYN_ACG_PL           | Murex | 
CG_ADD_FE            | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | 
CG_CS_CAP            | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | 
CG_CS_REV            | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | 
CG_FIN               | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | 
CG_MV_CAP            | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | 
CG_MV_REV            | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | 
CG_PVE               | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | 
CNT_DSC              | 51 | 0 | Char | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | 
CNT_TYPO             | 21 | 0 | Char | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | 
DISC_CG              | 23 | 6 | American | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | 
INSTRUMENT           | 20 | 0 | Char | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | 
MKT_CUR              | 4 | 0 | Char | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | 
NB                   | 16 | 0 | Numeric | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | 
ORIG_NB              | 16 | 0 | Numeric | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | 
PFOLIO               | 15 | 0 | Char | ACG_DETPL.REP        | DYN_ACG_DETPL        | Murex | 
