DT1_DL_DAT           | 8 | 0 | Date | HLMY_DT1_REPO.REP    | 1.REPO               | User | DYN_TRNRP_DT        
DT1_DNOM1            | 5 | 0 | Numeric | HLMY_DT1_REPO.REP    | 1.REPO               | User | DYN_TRNRP_DT        
DT1_DNOM2            | 5 | 0 | Numeric | HLMY_DT1_REPO.REP    | 1.REPO               | User | DYN_TRNRP_DT        
DT1_NMRT             | 5 | 0 | Numeric | HLMY_DT1_REPO.REP    | 1.REPO               | User | DYN_TRNRP_DT        
DT2_DL_DAT           | 8 | 0 | Date | HLMY_DT2_REPO.REP    | 2. REPO              | User | DYN_TRNRP_DT        
DT2_DNOM1            | 5 | 0 | Numeric | HLMY_DT2_REPO.REP    | 2. REPO              | User | DYN_TRNRP_DT        
DT2_DNOM2            | 5 | 0 | Numeric | HLMY_DT2_REPO.REP    | 2. REPO              | User | DYN_TRNRP_DT        
DT2_NMRT             | 5 | 0 | Numeric | HLMY_DT2_REPO.REP    | 2. REPO              | User | DYN_TRNRP_DT        
DT2_STATUS           | 5 | 0 | Char | HLMY_DT2_REPO.REP    | 2. REPO              | User | DYN_TRNRP_DT        
DT_END0              | 8 | 0 | Date | HLMY_DT2_REPO.REP    | 2. REPO              | User | DYN_TRNRP_DT        
DT_START0            | 8 | 0 | Date | HLMY_DT2_REPO.REP    | 2. REPO              | User | DYN_TRNRP_DT        
NB                   | 10 | 0 | Numeric | HLMY_DT2_REPO.REP    | 2. REPO              | User | DYN_TRNRP_DT        
TP_DTECPN            | 8 | 0 | Date | HLMY_DT2_REPO.REP    | 2. REPO              | User | DYN_TRNRP_DT        
TP_DTECPN2           | 8 | 0 | Date | HLMY_DT2_REPO.REP    | 2. REPO              | User | DYN_TRNRP_DT        
TP_SECLBL            | 15 | 0 | Char | HLMY_DT2_REPO.REP    | 2. REPO              | User | DYN_TRNRP_DT        
DT1_STATUS           | 5 | 0 | Char | HLMY_DT1_REPO.REP    | 1.REPO               | User | DYN_TRNRP_DT        
DT_END0              | 8 | 0 | Date | HLMY_DT1_REPO.REP    | 1.REPO               | User | DYN_TRNRP_DT        
DT_START0            | 8 | 0 | Date | HLMY_DT1_REPO.REP    | 1.REPO               | User | DYN_TRNRP_DT        
NB                   | 10 | 0 | Numeric | HLMY_DT1_REPO.REP    | 1.REPO               | User | DYN_TRNRP_DT        
TP_DTECPN            | 8 | 0 | Date | HLMY_DT1_REPO.REP    | 1.REPO               | User | DYN_TRNRP_DT        
TP_DTECPN2           | 8 | 0 | Date | HLMY_DT1_REPO.REP    | 1.REPO               | User | DYN_TRNRP_DT        
TP_SECLBL            | 15 | 0 | Char | HLMY_DT1_REPO.REP    | 1.REPO               | User | DYN_TRNRP_DT        
TRN_FMLY             | 5 | 0 | Char | HLMY_DT1_REPO.REP    | 1.REPO               | User | DYN_TRNRP_DT        
TRN_GRP              | 5 | 0 | Char | HLMY_DT1_REPO.REP    | 1.REPO               | User | DYN_TRNRP_DT        
TRN_TYPE             | 5 | 0 | Char | HLMY_DT1_REPO.REP    | 1.REPO               | User | DYN_TRNRP_DT        
TRN_FMLY             | 5 | 0 | Char | HLMY_DT2_REPO.REP    | 2. REPO              | User | DYN_TRNRP_DT        
TRN_GRP              | 5 | 0 | Char | HLMY_DT2_REPO.REP    | 2. REPO              | User | DYN_TRNRP_DT        
TRN_TYPE             | 5 | 0 | Char | HLMY_DT2_REPO.REP    | 2. REPO              | User | DYN_TRNRP_DT        
BUY_AMT01            | 15 | 2 | Numeric | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
BUY_AMT_P            | 15 | 2 | Numeric | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
BUY_CUR01            | 3 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
BUY_CUR_P            | 3 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
CIFNO                | 21 | 0 | Char | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
CRT_BND12            | 8 | 0 | Date | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
NB                   | 10 | 0 | Numeric | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
NB_EXT               | 10 | 0 | Numeric | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
QTY_INDEX            | 3 | 0 | Numeric | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
RM_FXBASE            | 15 | 8 | Numeric | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
RM_FXUND             | 15 | 8 | Numeric | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
RM_SMCUR             | 15 | 8 | Numeric | HLMY_ECOS.REP        | HLMY_ECOS            | User | DYN_TRNRP_PL        
