NB_REVERSE           | 1 | 0 | Char | ACCOUNTING.REP       | DYN_ACCOUNTING       | User Additional | Copy Creation
H_LEG_ID             | 1 | 0 | Numeric | ACCOUNTING.REP       | DYN_ACCOUNTING       | User Additional | Copy Creation
H_D_C                | 1 | 0 |  | ACCOUNTING.REP       | DYN_ACCOUNTING       | User Additional | Copy Creation
EN_TYPE              | 2 | 0 | Numeric | ACCOUNTING.REP       | DYN_ACCOUNTING       | User Additional | Copy Creation
EN_CUR               | 3 | 0 | Char | ACCOUNTING.REP       | DYN_ACCOUNTING       | User Additional | Copy Creation
TYPE_NB              | 3 | 0 | Char | ACCOUNTING.REP       | DYN_ACCOUNTING       | User Additional | Copy Creation
H_EN_DIV             | 3 | 0 |  | ACCOUNTING.REP       | DYN_ACCOUNTING       | User Additional | Copy Creation
H_EN_FLAG            | 3 | 0 |  | ACCOUNTING.REP       | DYN_ACCOUNTING       | User Additional | Copy Creation
AVP_CAT              | 4 | 0 | Char | ACCOUNTING.REP       | DYN_ACCOUNTING       | User Additional | Copy Creation
TRN_FMLY             | 5 | 0 | Char | ACCOUNTING.REP       | DYN_ACCOUNTING       | User Additional | Copy Creation
TRN_GRP              | 5 | 0 | Char | ACCOUNTING.REP       | DYN_ACCOUNTING       | User Additional | Copy Creation
TRN_TYPE             | 5 | 0 | Char | ACCOUNTING.REP       | DYN_ACCOUNTING       | User Additional | Copy Creation
NB_RULE              | 6 | 0 | Numeric | ACCOUNTING.REP       | DYN_ACCOUNTING       | User Additional | Copy Creation
EN_DATE              | 8 | 0 | Date | ACCOUNTING.REP       | DYN_ACCOUNTING       | User Additional | Copy Creation
SYS_DATE             | 8 | 0 | Date | ACCOUNTING.REP       | DYN_ACCOUNTING       | User Additional | Copy Creation
VAL_DATE             | 8 | 0 | Date | ACCOUNTING.REP       | DYN_ACCOUNTING       | User Additional | Copy Creation
H_CNT_ORG            | 10 | 0 | Numeric | ACCOUNTING.REP       | DYN_ACCOUNTING       | User Additional | Copy Creation
