Dynamic table type,Dynamic table field,field type,dbs.csv,hsbc.csv,taishin.csv,uob.csv,vietin.csv,woori.csv
Collateral,KEY,,0,0,0,0,0,19
DYN_TRNRP_MK,H_ACT_DATE,Date,1,0,0,0,0,0
DYN_TRNRP_PL,H_SPOTD,Char,0,5,0,0,0,0
DYN_TRNRP_PL,H_FXL2PL2,Numeric,0,3,0,0,0,0
DYN_TRNRP_PL,H_FXL2PL1,Numeric,0,3,0,0,0,0
DYN_TRNRP_PL,TP_STLMI,Char,0,7,2,0,0,0
DYN_TRNRP_MK,H_MK_TYPE,Char,1,0,0,0,0,0
DYN_TRNRP_CS,D_ISTRS,Char,0,2,0,0,0,0
DYN_TRNRP_CS,H_CPNDT,Date,0,1,0,0,0,0
DYN_TRNRP_PL,SC2_NM_USD,Numeric,2,0,0,0,0,0
Simulation,CURVELABE,Char,1,0,0,0,0,0
Simulation,PNL,American,2,0,0,0,0,0
DYN_TRNRP_PL,H_N_DATE,Date,0,0,0,0,1,0
Simulation,BROKERAGE,American,1,0,0,0,1,9
Simulation,NOTIONAL_,Numeric,0,0,0,0,0,1
Copy Creation,H_HTMLMT,Numeric,1,0,0,0,0,0
DYN_TRNRP_DT,DT_CMPM,Numeric,0,1,0,0,0,0
DYN_TRNRP_MK,PKG_TYPO,Char,0,0,2,0,0,0
DYN_TRNRP_MK,PL_CUR,Char,3,1,0,0,0,0
Simulation,TOTAL_NUM,American,1,0,0,0,0,0
Simulation,DAILY_PL,American,0,0,0,0,0,2
Copy Creation,CSFR_REV,Numeric,1,0,0,0,0,0
DYN_TRNRP_PL,DLV_DATE,Date,1,0,0,0,0,0
Copy Creation,PL_INSCUR,Char,1,0,0,0,0,0
DYN_TRNRP_MV,H_STDEPO,Char,0,0,0,3,0,0
Simulation,CSNFU_SM,American,4,2,4,2,2,2
Copy Creation,SE_SPT,Numeric,1,0,0,0,0,0
DYN_TRNRP_PL,H_SPOT1,Numeric,0,13,0,0,0,0
Copy Creation,EN_DATE,Date,1,0,0,1,0,0
DYN_TRNRP_MV,FX_ST_NDIS,Numeric,10,0,0,0,0,0
DYN_TRNRP_MV,NEXTDAY,Date,0,0,1,0,0,0
Liquidation Positions,OPENINGAM,American,0,0,0,0,0,1
DYN_TRNRP_CS,TP_SMRTE,Numeric,5,0,0,0,0,0
Data Dictionary (Market Data Loader),TENOR,Char,0,0,0,0,0,1
DYN_TRNRP_PL,TRN_TYPE,Char,85,24,6,10,11,29
Liquidation Positions,PREMIUMAM,American,0,0,0,0,0,1
Simulation,CAPGAINGB,American,0,5,0,0,0,0
DYN_TRNRP_SV,D_TRMKTQTY,Numeric,3,0,0,0,0,0
Simulation,TRADETYPE,Char,0,8,0,0,0,0
DYN_TRNRP_PL,TP_RPOCPEX,Char,3,0,0,0,0,0
DYN_TRNRP_MK,AMNT_CAT,Char,1,0,0,0,0,0
Hedge,DATE,Date,0,0,1,1,0,0
Simulation,H_TRADE_DT,Date,1,0,0,0,0,0
DYN_TRNRP_PL,H_FXCPLGB2,Numeric,0,6,0,0,0,0
DYN_TRNRP_PL,H_FXCPLGB0,Numeric,0,6,0,0,0,0
DYN_TRNRP_PL,H_FXCPLGB1,Numeric,0,6,0,0,0,0
Copy Creation,CSNFR_CAP,Numeric,2,0,0,0,0,0
DYN_TRNRP_PL,D_BUCKET,Char,3,0,0,0,0,0
DYN_TRNRP_PL,D_CURRENCY,Char,1,0,0,0,0,0
DYN_TRNRP_CS,PAY_P_ROLD,Char,0,3,0,0,0,0
PL VAR,TRN_FMLY,Char,1,0,0,0,0,0
DYN_TRNRP_CS,H_AGTCRDB,Char,1,0,0,0,0,0
Simulation,ISIN,Char,2,1,0,0,0,0
DYN_TRNRP_CS,F_VARMARG0,Numeric,1,0,0,0,0,0
Accounting (Reporting),TPID,Numeric,1,0,0,0,0,0
DYN_TRNRP_CS,F_VARMARG2,Numeric,1,0,0,0,0,0
Simulation,SL_PFOLIO,Char,0,0,0,0,0,2
DYN_TRNRP_MV,TP_DTESYS,Date,20,1,2,4,2,0
Copy Creation,RIGHT_DESC,Char,1,1,0,0,0,0
DYN_TRNRP_PL,ECN_CONFIR,Char,0,1,0,0,0,0
Liquidation Positions,LABEL,Char,0,0,0,0,2,8
Simulation,TOTAL_EUR,American,0,0,1,1,1,0
DYN_TRNRP_MV,M_IDX_CUR,Char,10,0,0,0,0,0
Accounting (Reporting),ENTITY,Char,1,0,0,3,1,1
DYN_TRNRP_PL,NEW_RATE,Numeric,0,1,0,0,0,0
Payments,PF_GROUP,Char,1,0,0,0,0,0
DYN_TRNRP_PL,H_TR_PRICE,Numeric,0,0,0,1,0,0
,ACT_P_L_1,American,0,0,0,0,0,1
Simulation,DISC__MV,American,0,0,0,0,1,0
DYN_TRNRP_CS,H_ISPRM,Char,0,1,0,0,0,0
DYN_TRNRP_PL,TP_RTMGP00,Numeric,3,7,0,0,0,0
,MK_BROTHER,Numeric,0,1,0,0,0,0
Collateral,TODAY_PC,Numeric,0,0,0,0,0,1
Collateral,TYPE,,0,0,0,0,0,2
DYN_TRNRP_PL,D_FLW_TP2,Char,1,0,0,0,0,0
DYN_TRNRP_PL,D_FLW_TP1,Char,1,0,0,0,0,0
DYN_TRNRP_PL,TP_SECCDI,Char,3,15,0,0,0,0
Simulation,TP_PFOLIO,Char,11,2,4,2,2,2
DYN_TRNRP_PL,H_AMO_1,Numeric,0,0,0,0,1,0
Collateral,MLCFLOWDAT,,0,0,0,0,0,1
SQL,VAL_DATE,Date,1,0,0,0,0,0
Copy Creation,REP_NDATE,Date,0,0,0,1,0,0
Collateral,UDFL_2_STR,,0,0,0,0,0,1
DYN_TRNRP_PL,D_TRN_TIME,Numeric,2,0,0,0,0,0
DYN_TRNRP_PL,H_MRTEFTR,Numeric,0,14,0,0,0,0
Collateral,TODAY_FC,Numeric,0,0,0,0,0,1
PL VAR,EN_DATE,Date,1,0,0,0,0,0
DYN_TRNRP_PL,AMD_STS0,Char,33,8,0,1,1,2
DYN_TRNRP_PL,AMD_STS1,Char,35,7,0,1,1,2
DYN_TRNRP_PL,AMD_STS2,Char,42,7,5,6,4,4
DYN_TRNRP_PL,H_TRDIRTY2,Numeric,0,6,0,0,0,0
Simulation,D_VEGA_YLD,American,2,0,0,0,0,0
Simulation,COUNTERPA,Char,6,9,11,0,0,30
DYN_TRNRP_MK,TP_PRICED,Numeric,3,2,1,0,0,0
DYN_TRNRP_MV,MOP_OPC_RE,Char,1,0,0,0,0,0
DYN_TRNRP_PL,TP_RTMFRF1,Char,7,10,1,3,1,4
DYN_TRNRP_PL,TP_RTMFRF0,Char,7,15,1,3,1,4
Simulation,ADDITIONA,American,1,0,0,0,0,1
Deliverable Cash,DF_RSMN,Numeric,2,0,0,0,0,0
Simulation,SCHEDULEL,Char,0,3,0,0,0,0
49,ENTITY_GR,Char,0,0,0,1,0,0
Collateral,CSH_COLLAT,Numeric,0,0,0,0,0,1
Deliverable Cash,DF_RSMV,Numeric,2,0,0,0,0,0
DYN_TRNRP_CS,CREDBT,Char,1,0,0,0,0,0
DYN_TRNRP_PL,H_TP_IQTYS,American,1,0,0,0,0,0
,MV_FBF1,American,0,2,0,0,0,0
,MV_FBF0,American,0,2,0,0,0,0
Simulation,FEES_CNV,American,2,0,10,2,3,0
,MV_FBF2,American,0,2,0,0,0,0
,PL_CSRNF2,American,0,1,0,0,0,0
Copy Creation,CCY_MTM,Char,2,0,0,0,0,0
Simulation,ADDITION2,American,0,0,0,0,0,1
Simulation,ADDITION3,American,0,0,0,0,0,1
DYN_TRNRP_MV,U_MRG_MET,Char,0,0,0,0,0,5
DYN_TRNRP_MV,D_DEAD_DTE,Date,1,0,0,0,0,0
DYN_TRNRP_MV,C_H_RISK_R,Char,0,0,1,0,0,0
DYN_TRNRP_PL,TP_RTBUY,Char,7,0,0,0,0,0
Copy Creation,BENTITY,Char,1,0,0,0,0,0
DYN_TRNRP_PL,INTAMT2_FX,American,1,0,0,0,0,0
,MK_STLPRC,Numeric,0,1,0,0,0,0
,H_PCLEANFW,Numeric,0,1,0,0,0,0
DYN_TRNRP_CS,F_PHASE,Numeric,2,2,0,1,5,0
DYN_TRNRP_MV,TP_FXSWLEG,Char,5,0,0,0,0,0
,PL_CSRNF0,American,0,1,0,0,0,0
DYN_TRNRP_MV,TP_FXHSPT,Numeric,0,0,0,0,0,1
DYN_TRNRP_SV,TP_RTMFRP0,Char,3,0,0,0,0,0
DYN_TRNRP_SV,TP_RTMFRP1,Char,1,0,0,0,0,0
DYN_TRNRP_PL,H_MOPRATE,Numeric,1,0,0,0,0,0
DYN_TRNRP_PL,H_MTMFX,Numeric,0,6,0,0,0,0
Collateral,TRADEDESK,Char,0,0,0,0,0,1
DYN_TRNRP_MV,SC2_PLI_AC,Numeric,1,0,0,0,0,0
Data Dictionary (Market Data Loader),TENORLABE,Char,0,0,1,0,0,0
Simulation,PAST_CF,American,0,0,0,0,0,1
Simulation,HI_KO_DAT,Char,0,0,0,0,0,1
DYN_TRNRP_PL,TP_IPAYCVC,Char,16,1,3,1,1,1
DYN_TRNRP_PL,PRLINACR11,American,0,5,0,0,0,0
DYN_TRNRP_CS,F_STRTYPO,Char,0,0,3,0,0,0
DYN_TRNRP_PL,TP_SALES_P,Numeric,0,0,0,0,1,1
Accounting (Reporting),TYPE_NB,Char,1,0,0,0,0,0
DYN_TRNRP_PL,TP_SALES_Y,Numeric,0,0,0,0,2,1
Copy Creation,DCONV_SHIF,Char,1,0,0,0,0,0
DYN_TRNRP_PL,TP_RTDCN10,Date,2,1,0,0,0,0
DYN_TRNRP_PL,TP_RTDCN11,Date,2,1,0,0,0,0
DYN_TRNRP_PL,TP_RTDCN12,Date,3,1,0,0,0,0
DYN_TRNRP_PL,D_BUY_CCY,Char,1,0,0,0,0,0
DYN_TRNRP_CS,D_BUYCCY,Char,1,0,0,0,0,0
DYN_TRNRP_PL,SWAPSWIRE,Numeric,0,1,0,0,0,0
DYN_TRNRP_PL,DT_SKIP06,Date,2,0,0,0,0,0
DYN_TRNRP_PL,H_3MP,Date,1,0,0,0,0,0
DYN_TRNRP_PL,DT_SKIP01,Date,1,0,0,0,0,0
DYN_TRNRP_PL,DT_SKIP02,Date,1,0,0,0,0,0
DYN_TRNRP_PL,H_STDTESHF,Char,0,6,0,0,0,0
Simulation,ASK,Numeric,0,0,0,0,0,7
DYN_TRNRP_PL,H_3MF,Date,1,0,0,0,0,0
DYN_TRNRP_PL,D_PAY_REC,Numeric,1,0,0,0,0,0
Copy Creation,SE_CODE,Char,1,0,0,0,0,0
MRA,VAR1_ALL,Numeric,0,0,0,0,0,1
DYN_TRNRP_PL,H_3M3,Date,1,0,0,0,0,0
DYN_TRNRP_PL,H_3M2,Date,1,0,0,0,0,0
DYN_TRNRP_PL,H_3M1,Date,1,0,0,0,0,0
DYN_TRNRP_PL,H_3M6,Date,1,0,0,0,0,0
DYN_TRNRP_PL,H_3M5,Date,1,0,0,0,0,0
DYN_TRNRP_PL,H_3M4,Date,1,0,0,0,0,0
DYN_TRNRP_CS,TP_STATUS2,Char,17,3,1,0,4,5
DYN_TRNRP_CS,TP_STATUS0,Char,1,1,0,0,0,0
DYN_TRNRP_PL,NB,Numeric,101,100,20,21,49,36
DYN_TRNRP_PL,TP_RTDXP00,Date,1,7,0,0,0,1
DYN_TRNRP_PL,TP_RTDXP01,Date,1,7,0,0,0,1
DYN_TRNRP_PL,TP_RTDXP02,Date,1,7,1,2,1,3
DYN_TRNRP_DT,TP_MOPLST,Numeric,4,0,0,0,0,0
DYN_TRNRP_PL,TP_IPAYDTE,Date,22,24,5,6,2,13
Collateral,GAMMA_LMTT,Char,0,0,0,0,0,2
Copy Creation,FX_OPTION,Char,1,0,0,0,0,0
33,DF_REF,Numeric,0,0,0,1,0,0
DYN_TRNRP_MK,D_D2,Date,1,0,0,0,0,0
DYN_TRNRP_MK,D_D1,Date,1,0,0,0,0,0
Simulation,BUC_GAMMA,American,1,0,0,0,0,0
DYN_TRNRP_CS,PL_KEY1,Char,2,1,1,1,1,1
DYN_TRNRP_MV,H_ISS_LBL,Char,0,0,0,0,0,4
Simulation,INDEX_LAB,Char,0,0,0,0,0,2
51,OURSELVES,Char,2,0,0,0,0,0
